Attribute,Description,Valid Values,Requires,Properties,Required,Parent,Requires Component,Source,Validation Rules
Assay,"A planned process with the objective to produce information about the material entity that is the evaluant, by physically examining it or its proxies.[OBI_0000070]",,,,FALSE,,,http://purl.obolibrary.org/obo/OBI_0000070
Device,"A thing made or adapted for a particular purpose, especially a piece of mechanical or electronic equipment""",,,,FALSE,Assay,,https://w3id.org/biolink/vocab/Device
Sequencing,Module for next generation sequencing assays,,,,FALSE,Assay,,http://example.org/htan/Sequencing
Component,"Type of submitted metadata

Patient, 
scRNA-seq Assay",,,,TRUE,,,https://w3id.org/biolink/vocab/category
File,A type of Information Content Entity specific to OS,,,"Filename, File Format",FALSE,Information Content Entity,,https://w3id.org/biolink/vocab/DataFile
Filename,REQUIRED: Name of a file ,,,,TRUE,,,http://example.org/htan/filename
File Format,"REQUIRED: Format of a file (e.g. txt, csv, fastq, bam, etc.)","txt, csv, fastq, bam",,,TRUE,,,http://example.org/htan/fileFormat
Biospecimen,"HTAN biological entity; bio entity can be a sample, slide, aliquot, analyte, etc.  ",,Sample ID,Sample ID,FALSE,Biosample,Patient,http://example.org/htan/Biospecimen
Sample ID,"REQUIRED: ID associated with this biosample; e.g. S1, S2,..., etc.",,,,TRUE,,,http://www.w3.org/ns/prov#Entity
Patient,Individual biomedical demographics attributes,,"Patient ID,  Year Of Birth,  Vital Status, Treatment Anatomic Site, Treatment Type, Treatment Effect, Treatment Outcome, Treatment Intent Type, Component",,FALSE,Patient,,
Patient ID,"REQUIRED: ID associated with a patient: e.g. P1, P2,..., etc.",,,,TRUE,Patient,,http://www.w3.org/ns/prov#Entity
Vital Status,REQUIRED: The survival state of the person registered on the protocol.,"Status Alive, Status Dead, Status Unknown, Status Not Reported",,,TRUE,Patient,,
Status Dead,A patient has died,,Cause of Death,,FALSE,Patient,,
Cause of Death,REQUIRED IF Vital Status Dead: Text term to identify the cause of death for a patient.,"Cancer Related, Cardiovascular Disorder NOS, End-stage Renal Disease, Infection, Not Cancer Related, Renal Disorder NOS, Spinal Muscular Atrophy, Surgical Complications, Toxicity, Not Reported, Unknown",,,TRUE,Patient,,https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2554674&version=3.0
Year Of Birth,REQUIRED: Patient's birth year: YYYY,,,,TRUE,Patient,,
