Attribute,Description,Valid Values,Requires,Properties,Required,Parent,Requires Component,Source
Assay,"A planned process with the objective to produce information about the material entity that is the evaluant, by physically examining it or its proxies.[OBI_0000070]",,,,FALSE,,,http://purl.obolibrary.org/obo/OBI_0000070
Device,"A thing made or adapted for a particular purpose, especially a piece of mechanical or electronic equipment""",,,,FALSE,Assay,,https://w3id.org/biolink/vocab/Device
Sequencing,Module for next generation sequencing assays,,,,FALSE,Assay,,http://example.org/htan/Sequencing
Component,Name of the high level ontology class in which this entity is categorized. Corresponds to the label for the biolink entity type class. In a neo4j database this MAY correspond to the neo4j label tag,"Biospecimen, Patient, scRNA-seq Assay, scRNA-seq Alignment, scRNA-seq QC, scATAC-seq Assay, Demographics",,,TRUE,,,https://w3id.org/biolink/vocab/category
File,A type of Information Content Entity specific to OS,,,"Filename, File Format",FALSE,Information Content Entity,,https://w3id.org/biolink/vocab/DataFile
Filename,Name of a file ,,,,TRUE,,,http://example.org/htan/filename
File Format,"Format of a file (e.g. txt, csv, fastq, bam, etc.)",,,,TRUE,,,http://example.org/htan/fileFormat
Biospecimen,"HTAN biological entity; bio entity can be a sample, slide, aliquot, analyte, etc.  ",,HTAN Biosample ID,"HTAN Biosample ID, Biospecimen Type, Component",FALSE,Biosample,Patient,http://example.org/htan/Biospecimen
Biospecimen Type,Type of biospecimen,"Sample, Slide, Aliquot, Analyte",,,TRUE,,,http://example.org/htan/biospecimenType
HTAN Biosample ID,HTAN ID associated with this biosample based on HTAN ID SOP,,,,TRUE,,,http://www.w3.org/ns/prov#Entity
Patient,HTAN patient,,,"HTAN Patient ID, Component",FALSE,Individual Organism,Demographics,http://example.org/htan/Patient
HTAN Patient ID,HTAN ID associated with a patient based on HTAN ID SOP,,,,TRUE,,,http://www.w3.org/ns/prov#Entity
Nucleic Acid Source,The source of the input nucleic molecule,"Single Cell, Bulk Cell, Single Nucleus, Bulk Nuclei",,,TRUE,Sequencing,,http://example.org/htan/NucleicAcidSource
Single Cell Isolation,The disassociation method used for scRNASeq assays,"Microfluidics Chip, Droplets, FACS, 10x",,,TRUE,scRNA-seq Assay,,
Library Layout,Sequencing read type,"Single Read, Paired End",,,TRUE,Sequencing,,
Library Construction Method,Process which results in the creation of a library from fragments of DNA using cloning vectors or oligonucleotides with the role of adaptors [OBI_0000711],"Smart-seq2,  Smart-SeqV4, 10xV1, 10xV2, 10xV3, CEL-seq2, Drop-seq, inDrops",,,TRUE,Sequencing,,http://purl.obolibrary.org/obo/OBI_0000711
Input Molecule,"The specific fraction of biological macromolecule from which the sequencing library is derived, e.g. polyA RNA",,,,TRUE,scRNA-seq Assay,,
End Bias,"The end of the cDNA molecule that is preferentially sequenced, e.g. 3/5 prime tag/end or the full length transcript","3 Prime, 5 Prime, Full Length Transcript",,,TRUE,Sequencing,,
Reverse Transcription,"A DNA synthesis process that uses RNA as the initial template for synthesis of DNA, but which also includes an RNase activity to remove the RNA strand of an RNA-DNA heteroduplex produced by the RNA-dependent synthesis step and use of the initial DNA strand as a template for DNA synthesis. [GO_0001171]",cDNA,,,TRUE,Sequencing,,http://amigo.geneontology.org/amigo/term/GO:0001171
